muni_id,uf_sigla,muni_nm,idhm,lat,lon
2907004,BA,CARDEAL DA SILVA,0.552,-11.942,-37.949
2907103,BA,CARINHANHA,0.576,-14.305,-43.765
2907202,BA,CASA NOVA,0.57,-9.162,-40.971
2907301,BA,CASTRO ALVES,0.613,-12.766,-39.428
2907400,BA,CATOLÂNDIA,0.582,-12.318,-44.861
2907509,BA,CATU,0.677,-12.353,-38.379
2907558,BA,CATURAMA,0.571,-13.329,-42.291
2905107,BA,CAÉM,0.546,-11.091,-40.435
2907608,BA,CENTRAL,0.596,-11.136,-42.113
2907707,BA,CHORROCHÓ,0.6,-8.98,-39.094
2907905,BA,CIPÓ,0.601,-11.1,-38.517
2908002,BA,COARACI,0.613,-14.641,-39.551
2908101,BA,COCOS,0.596,-14.184,-44.534
2908200,BA,CONCEIÇÃO DA FEIRA,0.634,-12.506,-38.999
2908309,BA,CONCEIÇÃO DO ALMEIDA,0.606,-12.809,-39.164
2908408,BA,CONCEIÇÃO DO COITÉ,0.611,-11.564,-39.283
2908507,BA,CONCEIÇÃO DO JACUÍPE,0.663,-12.327,-38.765
2908606,BA,CONDE,0.56,-11.814,-37.611
2908705,BA,CONDEÚBA,0.582,-14.895,-41.969
2908804,BA,CONTENDAS DO SINCORÁ,0.577,-13.763,-41.041
2908903,BA,CORAÇÃO DE MARIA,0.592,-12.233,-38.75
2909000,BA,CORDEIROS,0.579,-15.039,-41.935
2909109,BA,CORIBE,0.6,-13.829,-44.454
2909208,BA,CORONEL JOÃO SÁ,0.535,-10.284,-37.926
2909307,BA,CORRENTINA,0.603,-13.343,-44.637
2909406,BA,COTEGIPE,0.59,-12.028,-44.258
2909505,BA,CRAVOLÂNDIA,0.599,-13.359,-39.815
2909703,BA,CRISTÓPOLIS,0.614,-12.234,-44.421
2909604,BA,CRISÓPOLIS,0.543,-11.511,-38.15
2909802,BA,CRUZ DAS ALMAS,0.699,-12.67,-39.102
2909901,BA,CURAÇÁ,0.581,-8.992,-39.908
2906709,BA,CÂNDIDO SALES,0.601,-15.505,-41.239
2907806,BA,CÍCERO DANTAS,0.585,-10.6,-38.383
2910057,BA,DIAS D'ÁVILA,0.676,-12.613,-38.297
2910107,BA,DOM BASÍLIO,0.591,-13.76,-41.771
2910206,BA,DOM MACEDO COSTA,0.632,-12.905,-39.193
2910008,BA,DÁRIO MEIRA,0.54,-14.436,-39.908
2910305,BA,ELÍSIO MEDRADO,0.623,-12.946,-39.522
2910404,BA,ENCRUZILHADA,0.544,-15.531,-40.909
